CIA - The World Factbook --  Dependency ratios   

| Rank | country | Dependency ratios | Date of Information |
| 423 | Jersey | 21.70 | 2014 est. |
| 424 | Austria | 21.60 | 2014 est. |
| 425 | Curacao | 21.60 | 2014 est. |
| 426 | United States | 21.60 | 2014 est. |
| 427 | Burkina Faso | 21.50 | 2014 est. |
| 428 | Afghanistan | 21.50 | 2014 est. |
| 429 | Poland | 21.40 | 2014 est. |
| 430 | Singapore | 21.30 | 2014 est. |
| 431 | Puerto Rico | 21.30 | 2014 est. |
| 432 | Japan | 21.20 | 2014 est. |
| 433 | Poland | 21.20 | 2014 est. |
| 434 | Ukraine | 21.20 | 2014 est. |
| 435 | Equatorial Guinea | 21.10 | 2014 est. |
| 436 | Slovakia | 21.10 | 2014 est. |
| 437 | Slovenia | 21.10 | 2014 est. |
| 438 | Serbia | 21.10 | 2014 est. |
| 439 | Sierra Leone | 21.00 | 2014 est. |
| 440 | Angola | 21.00 | 2014 est. |
| 441 | Luxembourg | 21.00 | 2014 est. |
| 442 | Malta | 20.90 | 2014 est. |
| 443 | Ukraine | 20.80 | 2014 est. |
| 444 | Bulgaria | 20.80 | 2014 est. |
| 445 | Chad | 20.70 | 2014 est. |
| 446 | Uganda | 20.50 | 2014 est. |
| 447 | Kenya | 20.40 | 2014 est. |
| 448 | Togo | 20.20 | 2014 est. |
| 449 | Papua New Guinea | 20.10 | 2014 est. |
| 450 | Korea, South | 19.90 | 2014 est. |
| 451 | Germany | 19.80 | 2014 est. |
| 452 | Yemen | 19.70 | 2014 est. |
| 453 | Iceland | 19.70 | 2014 est. |
| 454 | Montenegro | 19.70 | 2014 est. |
| 455 | Madagascar | 19.60 | 2014 est. |
| 456 | Hong Kong | 19.60 | 2014 est. |
| 457 | Zambia | 19.60 | 2014 est. |
| 458 | Belarus | 19.60 | 2014 est. |
| 459 | Comoros | 19.50 | 2014 est. |
| 460 | Cuba | 19.30 | 2014 est. |
| 461 | Guinea-Bissau | 19.30 | 2014 est. |
| 462 | United Arab Emirates | 19.30 | 2014 est. |
| 463 | Nigeria | 19.30 | 2014 est. |
| 464 | Tajikistan | 19.20 | 2014 est. |
| 465 | West Bank | 19.00 | 2014 est. |
| 466 | Gaza Strip | 19.00 | 2014 est. |
| 467 | Benin | 18.90 | 2014 est. |
| 468 | United Arab Emirates | 18.80 | 2014 est. |
| 469 | Ireland | 18.70 | 2014 est. |
| 470 | Russia | 18.50 | 2014 est. |
| 471 | Slovakia | 18.50 | 2014 est. |
| 472 | Congo, Democratic Republic of the | 18.30 | 2014 est. |
| 473 | Mali | 18.20 | 2014 est. |
| 474 | Senegal | 18.20 | 2014 est. |
| 475 | Iraq | 18.10 | 2014 est. |
| 476 | Niger | 18.00 | 2014 est. |
| 477 | Mongolia | 18.00 | 2014 est. |
| 478 | Liberia | 18.00 | 2014 est. |
| 479 | Mauritania | 17.90 | 2014 est. |
| 480 | Macedonia | 17.80 | 2014 est. |
| 481 | Somalia | 17.80 | 2014 est. |
| 482 | Guinea | 17.70 | 2014 est. |
| 483 | Cyprus | 17.70 | 2014 est. |
| 484 | Cote d'Ivoire | 17.60 | 2014 est. |
| 485 | Israel | 17.60 | 2014 est. |
| 486 | Guyana | 17.50 | 2014 est. |
| 487 | Jordan | 17.40 | 2014 est. |
| 488 | Korea, South | 17.20 | 2014 est. |
| 489 | Qatar | 17.10 | 2014 est. |
